	theoretical	methodological	cross	rao_stirling_theoretical	rao_stirling_methodological	rao_stirling_cross	publication_year
36	['H41', 'D12', 'L85', 'R21', 'R31']	['C01', 'C33']	[('C01', 'H41'), ('C01', 'D12'), ('C01', 'L85'), ('C01', 'R21'), ('C01', 'R31'), ('C33', 'H41'), ('C33', 'D12'), ('C33', 'L85'), ('C33', 'R21'), ('C33', 'R31')]	0.3811507384525612	0.5	-0.4478264718782157	2009
37	['J60', 'O54', 'F13', 'P16', 'E24', 'F21']	['B59']	[('B59', 'J60'), ('B59', 'O54'), ('B59', 'F13'), ('B59', 'P16'), ('B59', 'E24'), ('B59', 'F21')]	0.5212958566844463	0.0	-0.0094388777215499	2009
38	['G11', 'R33', 'L83', 'G32', 'G01']	['C22', 'C12']	[('C22', 'G11'), ('C22', 'R33'), ('C22', 'L83'), ('C22', 'G32'), ('C22', 'G01'), ('C12', 'G11'), ('C12', 'R33'), ('C12', 'L83'), ('C12', 'G32'), ('C12', 'G01')]	0.3540351845149416	0.5	-0.486703036694962	2009
39	['L82', 'Z11', 'N74', 'F23']	['C43', 'C19', 'C83']	[('C43', 'L82'), ('C43', 'Z11'), ('C43', 'N74'), ('C43', 'F23'), ('C19', 'L82'), ('C19', 'Z11'), ('C19', 'N74'), ('C19', 'F23'), ('C83', 'L82'), ('C83', 'Z11'), ('C83', 'N74'), ('C83', 'F23')]	0.4546430108894128	0.4340226198546588	-0.3509677276306319	2009
40	['L20', 'M11', 'F23', 'O32', 'O31']	['C01', 'C33']	[('C01', 'L20'), ('C01', 'M11'), ('C01', 'F23'), ('C01', 'O32'), ('C01', 'O31'), ('C33', 'L20'), ('C33', 'M11'), ('C33', 'F23'), ('C33', 'O32'), ('C33', 'O31')]	0.2811475533526391	0.5	-0.3856869381852448	2009
41	['G15', 'E52', 'E44', 'E42', 'G12']	['C14', 'C32']	[('C14', 'G15'), ('C14', 'E52'), ('C14', 'E44'), ('C14', 'E42'), ('C14', 'G12'), ('C32', 'G15'), ('C32', 'E52'), ('C32', 'E44'), ('C32', 'E42'), ('C32', 'G12')]	0.4442221876233816	0.5	-0.6152132507995702	2009
42	['G15', 'E44', 'G12', 'F30']	['C32', 'C13', 'C51']	[('C32', 'G15'), ('C32', 'E44'), ('C32', 'G12'), ('C32', 'F30'), ('C13', 'G15'), ('C13', 'E44'), ('C13', 'G12'), ('C13', 'F30'), ('C51', 'G15'), ('C51', 'E44'), ('C51', 'G12'), ('C51', 'F30')]	0.3495177822187543	0.41195117123425	-0.4762906129471957	2009
43	['E50', 'G15', 'E44', 'G01', 'F31']	['C32', 'C01']	[('C32', 'E50'), ('C32', 'G15'), ('C32', 'E44'), ('C32', 'G01'), ('C32', 'F31'), ('C01', 'E50'), ('C01', 'G15'), ('C01', 'E44'), ('C01', 'G01'), ('C01', 'F31')]	0.3570512998849153	0.5	-0.5717452787794173	2009
44	['Z1', 'P16', 'L82', 'M14', 'N8', 'N7']	['B5']	[('B5', 'Z1'), ('B5', 'P16'), ('B5', 'L82'), ('B5', 'M14'), ('B5', 'N8'), ('B5', 'N7')]	0.3682629999530036	0.0	0.0190423183958046	2009
45	['I32', 'R11', 'O18', 'H72', 'H50']	['C13', 'C38']	[('C13', 'I32'), ('C13', 'R11'), ('C13', 'O18'), ('C13', 'H72'), ('C13', 'H50'), ('C38', 'I32'), ('C38', 'R11'), ('C38', 'O18'), ('C38', 'H72'), ('C38', 'H50')]	0.4577914157853229	0.5	-0.568955058024585	2009
46	['E44', 'G11', 'G12', 'G23']	['C53', 'C15', 'C63']	[('C53', 'E44'), ('C53', 'G11'), ('C53', 'G12'), ('C53', 'G23'), ('C15', 'E44'), ('C15', 'G11'), ('C15', 'G12'), ('C15', 'G23'), ('C63', 'E44'), ('C63', 'G11'), ('C63', 'G12'), ('C63', 'G23')]	0.3557835919782519	0.3620570451021194	-0.4881053923163563	2009
47	['J21', 'O19', 'F66', 'J71', 'J16', 'F16']	['C81']	[('C81', 'J21'), ('C81', 'O19'), ('C81', 'F66'), ('C81', 'J71'), ('C81', 'J16'), ('C81', 'F16')]	0.6011042447062209	0.0	0.008673733449541	2009
48	['Y80', 'G10']	['C60', 'C65', 'C02', 'C00', 'C01']	[('C60', 'Y80'), ('C60', 'G10'), ('C65', 'Y80'), ('C65', 'G10'), ('C02', 'Y80'), ('C02', 'G10'), ('C00', 'Y80'), ('C00', 'G10'), ('C01', 'Y80'), ('C01', 'G10')]	0.5	0.2936680554412305	-0.569114429061301	2009
49	['I32', 'H41', 'R20', 'D12', 'Q18', 'O12']	['C42']	[('C42', 'I32'), ('C42', 'H41'), ('C42', 'R20'), ('C42', 'D12'), ('C42', 'Q18'), ('C42', 'O12')]	0.3915388998575508	0.0	-0.0309718534117564	2009
